iter	Passed	Remaining
0	1	176
1	3	160
2	5	164
3	6	156
4	7	150
5	9	144
6	11	149
7	12	144
8	14	146
9	15	143
10	17	140
11	18	137
12	20	135
13	21	131
14	23	131
15	24	127
16	25	124
17	27	123
18	28	121
19	29	117
20	30	115
21	31	113
22	33	112
23	35	112
24	36	110
25	38	108
26	39	106
27	41	106
28	42	104
29	43	102
30	45	100
31	46	97
32	47	95
33	48	93
34	50	94
35	52	92
36	53	90
37	54	88
38	55	87
39	57	85
40	58	84
41	59	81
42	60	80
43	61	78
44	62	76
45	63	74
46	64	72
47	65	71
48	67	69
49	68	68
50	69	66
51	71	65
52	72	64
53	73	62
54	74	60
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	81	51
61	82	50
62	83	48
63	84	47
64	86	46
65	87	44
66	88	43
67	89	42
68	90	40
69	92	39
70	93	38
71	94	36
72	95	35
73	97	34
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	105	26
80	106	25
81	107	23
82	109	22
83	111	21
84	112	19
85	113	18
86	114	17
87	115	15
88	117	14
89	118	13
90	119	11
91	121	10
92	123	9
93	125	8
94	127	6
95	128	5
96	129	4
97	130	2
98	132	1
99	133	0
